name,symbol,rows_2008,first_date,last_date
austdlr,AUD=X,259,2008-01-01,2008-12-31
dkr,DKK=X,259,2008-01-01,2008-12-31
nzdlr,NZD=X,259,2008-01-01,2008-12-31
rand,ZAR=X,259,2008-01-01,2008-12-31
ringgit,MYR=X,259,2008-01-01,2008-12-31
sfr,CHF=X,259,2008-01-01,2008-12-31
cocoa,CC=F,253,2008-01-02,2008-12-31
coffee,KC=F,253,2008-01-02,2008-12-31
copper,HG=F,253,2008-01-02,2008-12-31
corn,ZC=F,253,2008-01-02,2008-12-31
cotton,CT=F,253,2008-01-02,2008-12-31
crude,CL=F,253,2008-01-02,2008-12-31
dlr_index,DX-Y.NYB,253,2008-01-02,2008-12-31
f-cattle,GF=F,253,2008-01-02,2008-12-31
fuel_proxy,HO=F,253,2008-01-02,2008-12-31
gas,RB=F,253,2008-01-02,2008-12-31
gold,GC=F,253,2008-01-02,2008-12-31
heat,HO=F,253,2008-01-02,2008-12-31
hog,HE=F,253,2008-01-02,2008-12-31
jet_proxy,HO=F,253,2008-01-02,2008-12-31
nat-gas,NG=F,253,2008-01-02,2008-12-31
oat,ZO=F,253,2008-01-02,2008-12-31
orange,OJ=F,253,2008-01-02,2008-12-31
silver,SI=F,253,2008-01-02,2008-12-31
soy-meal,ZM=F,253,2008-01-02,2008-12-31
soy-oil,ZL=F,253,2008-01-02,2008-12-31
soybean,ZS=F,253,2008-01-02,2008-12-31
sugar,SB=F,253,2008-01-02,2008-12-31
wheat,ZW=F,253,2008-01-02,2008-12-31
l-cattle,LE=F,252,2008-01-02,2008-12-31
eur,EUR=X,243,2008-01-01,2008-12-31
yen,JPY=X,243,2008-01-01,2008-12-31
brl,BRL=X,242,2008-01-01,2008-12-31
hk,HKD=X,242,2008-01-01,2008-12-31
nkr,NOK=X,242,2008-01-01,2008-12-31
rupiah,IDR=X,242,2008-01-01,2008-12-31
saudriyal,SAR=X,242,2008-01-01,2008-12-31
skr,SEK=X,242,2008-01-01,2008-12-31
palladium,PA=F,136,2008-02-28,2008-12-29
platinum,PL=F,115,2008-01-02,2008-12-31
rice,F*ZR.CBT,0,,
